Complexity,Time_Difference,Designation,Positive_Feedback,Negative_Feedback,Performance_Rating
21,0.44,Associate,TRUE,TRUE,63.45
55,0.3,Associate,FALSE,TRUE,69.17
1,0.16,Associate,TRUE,TRUE,59.29
8,0.74,Associate,TRUE,TRUE,61.01
13,0.5,Associate,TRUE,FALSE,63.88
89,0.09,Associate,FALSE,TRUE,72.05
13,0.28,Associate,TRUE,TRUE,61.76
8,0.02,Associate,TRUE,TRUE,60.61
34,0.77,Associate,FALSE,TRUE,65.23
13,0.68,Associate,TRUE,FALSE,63.98
144,0.75,Associate,TRUE,FALSE,77.42
5,0.49,Associate,FALSE,FALSE,61.27
2,0.54,Associate,TRUE,TRUE,59.7
1,0.85,Associate,FALSE,FALSE,60.68
55,0.32,Associate,FALSE,TRUE,69.18
3,0.6,Associate,FALSE,FALSE,60.93
2,0.97,Associate,TRUE,TRUE,59.95
3,0.36,Associate,FALSE,FALSE,60.8
21,0.87,Associate,TRUE,TRUE,63.69
21,0.89,Associate,TRUE,FALSE,65.7
1,0.49,Associate,FALSE,TRUE,58.47
55,0.24,Associate,FALSE,FALSE,71.13
89,0.45,Associate,TRUE,TRUE,73.25
8,0.39,Associate,FALSE,FALSE,61.82
8,0.49,Associate,TRUE,FALSE,62.87
21,0.63,Associate,TRUE,FALSE,65.55
1,0.01,Associate,TRUE,FALSE,61.21
13,0.77,Associate,FALSE,FALSE,63.03
8,0.95,Associate,TRUE,FALSE,63.13
8,0.2,Associate,TRUE,TRUE,60.71
21,0.35,Associate,TRUE,TRUE,63.39
55,0.23,Associate,FALSE,TRUE,69.13
55,0.3,Associate,FALSE,TRUE,69.17
34,0.06,Associate,FALSE,FALSE,66.83
2,0.41,Associate,TRUE,FALSE,61.63
1,0.57,Associate,TRUE,TRUE,59.52
89,0.61,Associate,FALSE,TRUE,72.34
2,0.82,Associate,TRUE,TRUE,59.86
89,0.84,Associate,TRUE,FALSE,75.47
1,0.66,Associate,TRUE,TRUE,59.57
144,0.22,Associate,FALSE,TRUE,74.13
89,0.38,Associate,FALSE,TRUE,72.21
21,0.73,Associate,TRUE,TRUE,63.61
34,0.92,Associate,TRUE,TRUE,66.32
21,1,Associate,TRUE,FALSE,65.76
89,0.57,Associate,FALSE,FALSE,74.32
21,0.53,Associate,FALSE,TRUE,62.5
13,0.03,Associate,TRUE,TRUE,61.62
21,0.91,Associate,FALSE,TRUE,62.71
144,0.4,Associate,TRUE,FALSE,77.23
8,0.52,Associate,TRUE,FALSE,62.89
144,0.19,Associate,FALSE,FALSE,76.1
144,0.36,Associate,FALSE,TRUE,74.2
144,0.56,Associate,FALSE,TRUE,74.32
144,0.49,Associate,FALSE,FALSE,76.28
144,0,Associate,FALSE,FALSE,76
55,0.29,Associate,TRUE,FALSE,72.16
1,0.15,Associate,FALSE,TRUE,58.29
2,0.38,Associate,TRUE,FALSE,61.62
34,0.16,Associate,FALSE,TRUE,64.89
55,0.73,Associate,FALSE,FALSE,71.41
144,0.53,Associate,TRUE,FALSE,77.3
13,0.36,Associate,TRUE,FALSE,63.8
5,0.09,Associate,TRUE,FALSE,62.05
21,0.78,Associate,FALSE,TRUE,62.64
